good	year	DEU	USA	CHN
road	1965	0.124888454	0.072387712	
road	1970	0.123177681	0.082671736	
road	1980	0.1084833	0.067171068	
road	1990	0.168184227	0.077696303	0.061431251
road	2000	0.162271792	0.076880493	0.026347279
road	2010	0.154651167	0.074464718	0.028087386
road	2015	0.17714568	0.082076733	0.030074813
electric	1965	0.076378744	0.061212273	
electric	1970	0.077378707	0.079694415	
electric	1980	0.088275508	0.087682579	
electric	1990	0.095727207	0.118605029	0.063722789
electric	2000	0.120252432	0.197772308	0.166542833
electric	2010	0.107999586	0.12604544	0.229202404
electric	2015	0.103209516	0.12087305	0.258514786
